Sample,Mass,.N,d15N,.C,d13C,CNRatio,Site,Taxon,Rep
Floo Upp 1 g,4.683,2.27,-0.4,49.23,-33.32,21.7,FloodUp,g,1
L. Teph 4 e,4.734,2.81,-1.31,47.6,-31.7,16.96,Lteph,e,4
Rayas Up 5 a,4.64,4.15,-3.61,45.85,-24.63,11.05,RayasUp,a,5
Flood 1 2 d,4.765,5.4,-2.02,45.43,-20.93,8.41,Flood1,d,2
F. Upper 3 g,4.711,2.33,-1.81,47.81,-34.57,20.49,FloodUp,g,3
Flood Upp 1 E,4.508,1.95,1.74,48.83,-35.44,25.04,FloodUp,e,1
L. Teph 3 a,4.623,5.35,-1.42,57.69,-26.82,10.78,Lteph,a,3
Flood 1-5 a,4.832,3.03,-0.84,44.96,-23.16,14.83,Flood1,a,5
Ref 4 a,4.862,3.3,-1.17,38.63,-22.14,11.71,Ref,a,4
Flood 1-4 a,4.642,3.51,-1.18,44.24,-24.2,12.61,Flood1,a,4
Ref 3 g,4.609,2.82,-0.42,44.59,-33.17,15.83,Ref,g,3
Ref 4 g,4.69,2.77,-1.06,48.19,-37.31,17.39,Ref,g,4
