Elevation,Transect,Quadrat,Species,Cover,Collection,Long_Form,Photos
850,A,3,Arctothelium,T,T800_A1.8,,
850,A,3,Rhizoplaca,T,T800_A1.7,,
850,A,3,YellowRhizocarpon,T,T650_A1.1,,
850,A,4,Ramalina,T,T800_A7.1,,
850,A,4,Sclerophyton1,T,T800_A1.10,,
850,A,5,Arctothelium,T,T800_A1.8,,
850,A,5,Sclerophyton2,1,T800_A3.2,,
850,A,6,Arctothelium,T,T800_A1.8,,
850,A,6,Niebla4,1,T850_A6.1,,
850,A,6,Sclerophyton1,1,T800_A1.10,,
850,A,6,YellowRhizocarpon,T,T650_A1.1,,
850,A,7,Arctothelium,1,T800_A1.8,,
850,A,7,Candelariella1,T,T800_A2.1,,
850,A,7,Niebla4,T,T850_A6.1,,
850,A,7,PaleRhizocarpon,T,T6850_A7.1,,
850,A,7,Sclerophyton1,2,T800_A1.10,,
850,A,8,Arctothelium,T,T800_A1.8,,
850,A,8,Aspicilia1,T,T850_A8.1,,
850,A,8,Buellia1,T,T800_A1.6,,
850,A,8,Niebla4,1,T850_A6.1,,
850,A,8,Rhizoplaca,T,T800_A1.7,,
850,A,8,Sclerophyton1,2,T800_A1.10,,
850,A,8,WhiteSorAreol,1,T850_A8.2,,
850,A,8,YellowRhizocarpon,T,T650_A1.1,,
850,A,9,Amigdalaria,T,T800_A6.3,,
850,A,9,Arctothelium,T,T800_A1.8,,
850,A,9,Buellia1,10,T800_A1.6,,
850,A,9,Buellia2,T,T800_A1.13,,
850,A,9,Candelariella1,T,T800_A2.1,,
850,A,9,Heterodermia2,1,T800_A10.1,,
850,A,9,Pyrenodesmia,T,T850_A9.1,,
850,A,9,Ramalina,T,T800_A7.1,,
850,A,9,Sclerophyton1,3,T800_A1.10,,
850,A,9,YellowRhizocarpon,T,T650_A1.1,,
850,A,10,Arctothelium,T,T800_A1.8,,
850,A,10,Buellia1,1,T800_A1.6,,
850,A,10,Buellia2,T,T800_A1.13,,
850,A,10,Sclerophyton1,2,T800_A1.10,,
850,A,10,WhiteRhizoPara,1,T850_A10.1,,
850,A,11,Amigdalaria,1,T800_A6.3,,
850,A,11,Arctothelium,1,T800_A1.8,,
850,A,11,Buellia1,T,T800_A1.6,,
850,A,11,Candelariella1,T,T800_A2.1,,
850,A,11,Niebla4,T,T850_A6.1,,
850,A,11,Pyrenodesmia,T,T850_A9.1,,
850,A,11,Sclerophyton1,3,T800_A1.10,,
850,A,11,YellowRhizocarpon,T,T650_A1.1,,
850,A,12,Arctothelium,T,T800_A1.8,,
850,A,12,Sclerophyton2,1,T800_A3.2,,
850,A,12,YellowRhizocarpon,T,T650_A1.1,,
850,A,13,Arctothelium,T,T800_A1.8,,
850,A,13,Pyrenodesmia,T,T850_A9.1,,
850,A,13,RoccellinaCereb,T,T850_A13.1,,
850,A,13,Sclerophyton1,2,T800_A1.10,,
850,A,13,WhiteRhizoPara,T,T850_A10.1,,
850,A,13,YellowRhizocarpon,T,T650_A1.1,,
850,A,14,Arctothelium,T,T800_A1.8,,
850,A,14,Buellia1,8,T800_A1.6,,
850,A,14,Buellia2,T,T800_A1.13,,
850,A,14,Candelariella1,T,T800_A2.1,,
850,A,14,GraySorRhizocarpon,T,T850_A14.1,,
850,A,14,Heterodermia2,3,T800_A10.1,,
850,A,14,Niebla3,T,T800_A3.5,,
850,A,14,Niebla4,T,T850_A6.1,,
850,A,14,Pyrenodesmia,T,T850_A9.1,,
850,A,14,Ramalina,T,T800_A7.1,,
850,A,14,Sclerophyton1,4,T800_A1.10,,
850,A,14,TinyGreyRhizocarpon,T,T850_A14.2,,
850,A,14,WhiteSorAreol,5,T850_A8.2,,
850,A,14,YellowRhizocarpon,1,T650_A1.1,,
850,A,15,Arctothelium,T,T800_A1.8,,
850,A,15,Sclerophyton1,2,T800_A1.10,,
850,A,15,YellowRhizocarpon,T,T650_A1.1,,
850,A,16,Arctothelium,T,T800_A1.8,,
850,A,16,Buellia1,T,T800_A1.6,,
850,A,16,Candelariella1,T,T800_A2.1,,
850,A,16,Niebla4,T,T850_A6.1,,
850,A,16,Sclerophyton1,2,T800_A1.10,,
850,A,16,YellowRhizocarpon,1,T650_A1.1,,
850,A,17,Arctothelium,T,T800_A1.8,,
850,A,17,Buellia1,1,T800_A1.6,,
850,A,17,GraySorRhizocarpon,T,T850_A14.1,,
850,A,17,Nieblavagans,T,T850_A17.1,,
850,A,17,Sclerophyton1,2,T800_A1.10,,
850,A,18,Arctothelium,T,T800_A1.8,,
850,A,18,Buellia1,T,T800_A1.6,,
850,A,18,Endolithic,T,T850_A18.1,,
850,A,18,Heterodermia2,T,T800_A10.1,,
