Elevation,Transect,Quadrat,Species,Cover,Collection,Long_Form,Photos
800,B,1,NieblaGranulans,T,TB800.1.3,Niebla granulans,
800,B,1,Minksia,T,TB800.1.4,Minksia,
800,B,1,YelRhizocarponSchizidia,T,TB800.1.5,Yellow Rhizocarpon with schizidia,
800,B,1,GreenBrain,T,TB800.1.6,Green Brain,
800,B,1,TanBullateApo,T,TB800.1.7,tan bullate apothecia,
800,B,1,Leprocaulon,T,TB800.1.8,Leprocaulon,
800,B,1,AmygdalariaBullate,T,TB800.1.9,Amygdalaria bullate aereoles,
800,B,2,HetFoll,T,TB800.1.2,,
800,B,2,NieblaGranulans,1,TB800.1.3,,
800,B,2,Chrysothrix,1,TB800.1.1,,
800,B,2,BlackStipCren,5,TB800.2.1,Black stipitate apothecia crenulate visible proper margin ,
800,B,2,GrayRhizoPseudolir,T,TB800.2.2,Gray Rhizocarpon with pseudolirellae,
800,B,2,CaloPhlogina,T,TB800.2.3,Caloplaca phlogina,
