"","Transect","Elevation","Quadrat","Time_Surface","Time_Absorption","Angle",".N","d15N",".C","d13C","f300_area","f670_area","f300_maxwl","f670_maxwl","f300_lo_wlhm","f300_up_wlhm","f300_width_wlhm","f300gauss_lo_wlhm","f300gauss_up_wlhm","f670_lo_wlhm","f670_up_wlhm","f670_width_wlhm","f670gauss_lo_wlhm","f670gauss_up_wlhm","f300_max","f670_max","ndvi","Gndvi","pri","mcari","srpi","npci","R0","l0","Rp","lp","Rs","ls"
"1","B","300","1",1,7.16666666666667,130,NA,NA,NA,NA,148.532190743133,5.78405120585852,392.977875,676.308625,301.415,469.727625,168.312625,0.0518778535997522,0.033142123844443,661.07925,694.208875,33.129625,0.00531863302528076,0.0027640169306961,0.54939538414246,0.0523789219784223,0.206422542356322,0.38881840077522,-0.0941780615620014,0.883961855528639,0.414443326541589,0.434579289716705,27.535695545,662.450125,35.8883381825,734.67725,37.01714519375,741.37375
"2","B","400","1",1.15972222222222,23.8877777777778,97.5,1.18,1.71,40.69,-24.43,90.2767601001774,9.06409543280261,362.1326875,675.4481875,300.372,410.678875,110.306875,0.0529721886392384,0.0394517712936108,658.56025,697.7160625,39.1558125,0.00808039699074076,0.00428059745984036,0.46724578947648,0.0744530748757524,0.18085028769727,0.297096228909686,-0.0735876335763977,0.926181591337785,0.503223733654115,0.338605252686591,26.019092391875,663.277,32.555693410625,729.9354375,33.95009323875,739.4821875
"3","B","500","1",13.6666666666667,26.5833333333333,103.333333333333,0.95,-1.24,28.84,-28.56,110.954587315392,18.209083449325,372.086357142857,678.341535714286,303.735142857143,440.041178571429,136.306035714286,0.0506304970271811,0.0524615429951326,649.976642857143,708.551535714286,58.5748928571428,0.0167923148238864,0.00906657018019539,0.463848597923021,0.149383094975106,0.215701031112819,0.285046037343688,-0.0668253420591969,1.70727451989926,0.564511554173606,0.310412333253309,24.6917808160714,669.374607142857,30.6224505682143,724.844821428571,32.0420901142857,733.529142857143
"4","B","600","1",10.1833333333333,32.225,93.75,1.765,-0.215,28.775,-21.32,97.1399916128322,10.7584733159853,361.265933333333,674.474255555556,301.756266666667,422.615877777778,120.859611111111,0.0500903500937841,0.0460854516243222,650.202477777778,701.745633333333,51.5431555555555,0.0108696445826894,0.00613811359555346,0.429607090313727,0.0925473711418271,0.172276528411026,0.257987595695515,-0.0696771820678923,1.07173472456768,0.528964629178264,0.332397783840582,22.9334892227778,667.394866666667,27.569618045,722.581077777778,28.4762120911111,730.452177777778
"5","B","700","1",25.8295454545455,65.7407407407407,92.7777777777778,1.37,-0.528571428571429,30.5157142857143,-24.0328571428571,87.4638350121837,8.48556530634788,357.245453846154,675.461176923077,300.940723076923,406.891453846154,105.950730769231,0.0525110709325004,0.0621724067764096,655.272792307692,699.010553846154,43.7377615384615,0.0100238090144146,0.00701179846467716,0.462352997769979,0.0897301407756892,0.164512944157422,0.2316133221353,-0.063587322245949,1.24018377810471,0.545085824874857,0.312178736760662,25.9348199784615,667.377446153846,31.1730824276923,723.340707692308,32.1035469257692,731.089084615385
"6","B","800","1",25.1666666666667,55.4242424242424,70.25,1.12,-0.12,28.0025,-21.7325,69.8034241631016,15.3172529058208,344.24215,674.937908333333,300.5006,379.762875,79.262275,0.0394563676633022,0.0472029603585787,652.064416666667,702.846575,50.7821583333333,0.0131321163490323,0.00797692157510174,0.400999950707576,0.122714967286516,0.184972296129729,0.263668154118434,-0.0763306886453125,1.51456164010428,0.515710991428587,0.337144141369697,25.3306052534167,666.385358333333,30.3265858605833,713.899741666667,31.6332613521667,721.859783333333
"7","B","400","10",0.875,28.325,60,NA,NA,NA,NA,86.5838083340727,9.79132871655643,349.70275,673.485916666667,298.981166666667,389.70575,90.7245833333333,0.0631185685767835,0.0571132668965285,651.823833333333,705.19375,53.3699166666667,0.00952032360163134,0.0054588499131699,0.499084137656388,0.088042830633507,0.172676516889004,0.262532711323802,-0.0678158473138942,1.16085944319603,0.529600931283389,0.30934284859782,30.806890275,663.768083333333,38.2098066683333,725.4065,40.3792509475,736.522
"8","B","500","10",0.666666666666667,3.72222222222222,120,NA,NA,NA,NA,77.6098765890103,9.13662999491635,358.846875,678.248,300.968125,421.82925,120.861125,0.0334797875856831,0.0208927177567758,655.032125,695.569875,40.53775,0.00869371922776875,0.00480901446552525,0.313079036003204,0.0712872584104206,0.148919734251988,0.246361562243525,-0.0621189286850246,0.678405679698034,0.611112331006964,0.27050032145847,25.90946648375,670.639,30.66358034125,728.959375,31.51392222625,735.449875
"9","B","600","10",1,8.5,120,NA,NA,NA,NA,69.1096773891627,7.21884466825126,352.342466666667,675.4031,302.3398,411.552466666667,109.212666666667,0.0424859728493382,0.0249643095725347,648.788433333333,698.223733333333,49.4353,0.00788039244304623,0.00534075341931553,0.330222458553321,0.0782779281384823,0.124131525811226,0.178785644819298,-0.0580868756513093,1.00160410938753,0.617012082211181,0.256888944697035,17.3113183766667,671.4011,20.8533809916667,730.169066666667,21.33475407,735.9872
"10","B","700","10",1.125,24.8055555555556,107.142857142857,NA,NA,NA,NA,49.2298681212032,5.56058365341691,347.057375,668.5915625,301.00575,405.6675,104.66175,0.0355460105543106,0.0184594097404396,651.2579375,685.81,34.5520625,0.00519355196310169,0.004888933502834,0.262907892632571,0.0558256662108153,0.125118593068454,0.178076679615551,-0.0444685147188359,0.519966666941802,0.664991995067821,0.208971003930487,16.34773386625,667.1921875,18.695720378125,717.331125,19.05188585625,724.039625
