Slice,Count,Total Area,Average Size,%Area,Mean,Perim.
N_Dry_Hor_203.JPG,5,36.667,7.333,18.525,255,9.06
N_Dry_Vert_199.JPG,16,44.121,2.758,23.479,255,3.16
N_Wet_Vert_211.JPG,6,56.936,9.489,22.27,255,9.263
O_Dry_Vert_207.JPG,142,59.12,0.416,20.634,254.837,0.515
R_Dry_Vert_219.JPG,8,47.159,5.895,25.222,253.702,8.166
R_Wet_Vert_227.JPG,11,50.601,4.6,23.041,254.456,5.502
S_Dry_Vert_067.JPG,20,19.806,0.99,17.212,255,2.974
S_Wet_Tot_083.JPG,87,51.723,0.595,11.454,255,2.498
S_Wet_Vert_075.JPG,12,23.343,1.945,21.322,255,4.008
A_Wet_Tot_019.JPG,8,29.729,3.716,11.866,255,13.497
B_Dry_V_007.JPG,2,34.655,17.327,18.875,255,22.968
Be_Wet_Tot_163.JPG,174,84.406,0.485,14.069,255,2.195
Be_Dry_Vert_151.JPG,27,30.504,1.13,29.703,255,2.593
Rocc_30_1_Dry_Vert_279.JPG,357,60.149,0.168,26.745,255,0.194
Rocc_30_1_Wet_Vert_303.JPG,10,68.886,6.889,32.571,255,5.139
Rocc_30_2_Dry_Vert_283.JPG,4,38.435,9.609,31.393,255,9.074
Rocc_30_2_Wet_Vert_307.JPG,19,42.957,2.261,27.938,255,2.188
Rocc_30_3_Dry_Vert_287.JPG,9,34.39,3.821,38.994,255,3.751
Rocc_30_3_Wet_Vert_311.JPG,9,40.617,4.513,21.478,255,4.324
Rocc_40_1_Dry_Vert_291.JPG,3,56.393,18.798,47.716,78.858,13.975
Rocc_40_1_Wet_Vert_315.JPG,11,59.665,5.424,43.599,255,3.878
Rocc_40_2_Dry_Vert_295.JPG,5,59.968,11.994,46.133,255,9.467
Rocc_40_2_Wet_Vert_319.JPG,13,58.071,4.467,28.858,255,4.989
Rocc_40_3_Dry_Vert_299.JPG,14,49.158,3.511,25.357,255,4.027
Rocc_40_3_Wet_Vert_323.JPG,101,63.036,0.624,26.699,255,0.624
Rocc_50_1_Dry_Vert_327.JPG,26,66.78,2.568,36.248,255,2.39
Rocc_50_1_Wet_Vert_355.JPG,21,70.017,3.334,44.393,255,2.754
Rocc_50_2_Dry_Vert_331.JPG,8,56.677,7.085,46.424,255,5.33
Rocc_50_2_Wet_Vert_359.JPG,37,59.702,1.614,33.117,255,1.712
Rocc_50_3_Dry_Vert_335.JPG,65,70.324,1.082,39.177,255,0.875
Rocc_50_3_Wet_Vert_367.JPG,49,76.567,1.563,29.984,255,1.348
Rocc_60_1_Dry_Vert_339.JPG,71,47.047,0.663,36.832,255,0.718
Rocc_60_1_Wet_Vert_371.JPG,148,49.647,0.335,32.484,255,0.437
Rocc_60_2_Dry_Vert_343.JPG,22,49.961,2.271,45.594,255,2.123
Rocc_60_2_Wet_Vert_375.JPG,43,54.061,1.257,37.724,255,1.317
Rocc_60_3_Dry_Vert_351.JPG,19,60.458,3.182,39.595,255,3.09
Rocc_60_3_Wet_Vert_379.JPG,52,65.47,1.259,38.357,255,1.204
