Species,Collection,Collection2,Specimen?,TLC?,Video?,Ref_Photo,Notes
Roccellina?,TB700.1.3,TB_700_1_3,yes,,,4089-4090,"Dropped from ref collection while in field, not processed but sample curated"
ManilaRoccellina,TB700.1.4,TB_700_1_4,yes,yes,yes,4091-4100,
WhiteBlackLecideateRoccellina,TB700.1.5,TB_700_1_5,yes,yes,yes,4101-4105,
BuellaJorgensis,TB700.1.6,TB_700_1_6,yes,yes,yes,4106-4107,
ManilaSegmentedApoHyperbullateRoccellina,TB700.1.7,TB_700_1_7,yes,yes,yes,4108-4111,
RamalinaSolid,TB700.1.8,TB_700_1_8,yes,yes,yes,4112-4115,
MicrobullateShitBrownBuellia,TB700.1.9,TB_700_1_9,yes,yes,yes,4116-4120,
RamalinaVAver,TB700.10.1,TB_700_10_1,,,,4335-4336,Could not locate specimen
UsneaRubicunda,TB700.10.2,TB_700_10_2,yes,too little,too little,4337-4339,Just a few flecks of sample
YelRhizoFlatBlackApo,TB700.10.3,TB_700_10_3,yes,yes,yes,4340-4341,
HetFoll,TB700.2.1,TB_700_2_1,yes,yes,yes,4181-4184,
Pentagenella,TB700.2.10,TB_700_2_10,yes,yes,yes,4237-4247,
HetLeucomelos,TB700.2.11,TB_700_2_11,yes,yes,yes,4248-4250,
BluishApoToninia,TB700.2.12,TB_700_2_12,yes,yes,yes,4251-4253,
HyperIsidiateNiebla,TB700.2.13,TB_700_2_13,yes,yes,yes,4254-4257,
SorMarginsRamalina,TB700.2.14,TB_700_2_14,yes,yes,yes,4258-4261,
AspiciliaStrigata,TB700.2.2,TB_700_2_2,yes,yes,yes,4185-4186,
XanthoriaAscendens,TB700.2.3,TB_700_2_3,yes,yes,too little,4187-4195,
WhiteStipBuellia,TB700.2.4,TB_700_2_4,yes,yes,yes,4196-4203,
FineFlattenedNiebla,TB700.2.5,TB_700_2_5,yes,yes,yes,4204-4210,
NieblaGranulans,TB700.2.6,TB_700_2_6,yes,yes,yes,4211-4212,
SorediateAmygdalaria,TB700.2.7,TB_700_2_7,yes,yes,yes,4213-4219,
BrownSmoothAspicilia,TB700.2.8,TB_700_2_8,yes,yes,yes,4220-4230,
BlackRugosePlacynthiella,TB700.2.9,TB_700_2_9,yes,yes,yes,4231-4236,
ManilaBacidia,TB700.3.1,TB_700_3_1,yes,yes,yes,4262-4263,
YelRhizocarponSchizidia,TB700.3.2,TB_700_3_2,yes,yes,yes,4264-4266,
WhiteTinyBlackApoRhizo,TB700.3.3,TB_700_3_3,yes,yes,yes,4267-4274,
TinyGrayRhizo,TB700.3.4,TB_700_3_4,yes,yes,yes,4275-4280,
TinyGrayRhizocarpon,TB700.3.4,TB_700_3_4,,,,,
ContortedPentagenella,TB700.3.5,TB_700_3_5,yes,too little,too little,4281-4282,Mostly broken off and lost?
Rinodina,TB700.3.6,TB_700_3_6,yes,yes,yes,4283-4287,
FlattenedLepro,TB700.3.7,TB_700_3_7,yes,yes,too little,,
NieblaCeruchis,TB700.4.1,TB_700_4_1,yes,yes,yes,4288-4293,
EpinecralAspicilia,TB700.4.2,TB_700_4_2,yes,yes,yes,4294-4296,
SandArthonia,TB700.4.3,TB_700_4_3,yes,yes,too little,4297-4304,On soil
StipLecBlaApoWhite,TB700.4.4,TB_700_4_4,yes,yes,yes,4305-4315,
Arctothelium,TB700.5.1,TB_700_5_1,yes,yes,yes,4316-4317,
TinyOliveRhizo,TB700.5.2,TB_700_5_2,yes,yes,yes,4318-4319,
SandArthonia,TB700.6.1,TB_700_6_1,yes,yes,too little,4320-4321,On soil
RoccellinaBallena,TB700.6.2,TB_700_6_2,yes,yes,yes,4322-4328,
EndolithicBuellia,TB700.9.1,TB_700_9_1,yes,yes,yes,4329-4334,
Chrysothrix,TB800.1.1,TB_800_1_1,yes,yes,yes,,
HetFoll,TB800.1.2,TB_800_1_2,yes,yes,yes,,
NieblaGranulans,TB800.1.3,TB_800_1_3,yes,yes,yes,,
Minksia,TB800.1.4,TB_800_1_4,yes,yes,yes,,
YelRhizocarponSchizidia,TB800.1.5,TB_800_1_5,yes,too little,yes,,
GreenBrain,TB800.1.6,TB_800_1_6,yes,yes,yes,,
TanBullateApo,TB800.1.7,TB_800_1_7,yes,yes,yes,,
Leprocaulon,TB800.1.8,TB_800_1_8,yes,yes,yes,,
AmygdalariaBullate,TB800.1.9,TB_800_1_9,,yes,yes,,all the same?
SorediateAmygdalaria,TB800.1.9,TB_800_1_9,,yes,yes,,all the same?
Amygdalaria,TB800.1.9,TB_800_1_9,yes,yes,yes,,specimen contains multiple species
aeroLep,TB800.10.1,TB_800_10_1,yes,yes,yes,,
WhiteBuelliaJor,TB800.10.2,TB_800_10_2,yes,yes,yes,,
TanCrustRocc,TB800.10.3,TB_800_10_3,yes,yes,yes,,
BlackStipCren,TB800.2.1,TB_800_2_1,yes,yes,yes,,
GrayRhizoPseudolir,TB800.2.2,TB_800_2_2,yes,yes,yes,,
CaloPhlogina,TB800.2.3,TB_800_2_3,yes,yes,too little,,
BuellaJorgensis,TB800.2.4,TB_800_2_4,yes,yes,yes,,
