"","Transect","Elevation","Quadrat","Time_Surface","Time_Absorption","Angle",".N","d15N",".C","d13C","f300_area","f670_area","f300_maxwl","f670_maxwl","f300_lo_wlhm","f300_up_wlhm","f300_width_wlhm","f300gauss_lo_wlhm","f300gauss_up_wlhm","f670_lo_wlhm","f670_up_wlhm","f670_width_wlhm","f670gauss_lo_wlhm","f670gauss_up_wlhm","f300_max","f670_max","NDVI","OSAVI","SAVI","MTVI","PWI","GMI1","GMI2","MCARI","TVI","Vogelmann4","Boochs","Boochs2","CARI","CI","Carter","Carter2","Carter3","Carter4","Carter5","Carter6","Datt","Datt2","Datt3","Datt4","Datt5","Datt6","DD","DDn","D1","D2","EVI","EGFR","EGFN","GI","Gitelson","Gitelson2","Green.NDVI","MCARI.OSAVI","MCARI2","MCARI2.OSAVI2","mNDVI","mND705","Maccioni","MSAVI","mSR","mSR705","mSR2","MTCI","NDVI2","NDVI3","NPCI","OSAVI2","RDVI","REP_LE","REP_Li","SIPI","SPVI","SR","SR1","SR2","SR3","SR4","SR5","SR6","SR7","SR8","SRPI","Sum_Dr1","Sum_Dr2","TCARI","TCARI2","TCARI.OSAVI","TCARI2.OSAVI2","Vogelmann","Vogelmann2","Vogelmann3","PRI","PSSR","PSND","CRI1","CRI2","CRI3","CRI4","MPRI","PRI.CI2","CI2","PSRI","ClAInt","TGI","PRI_norm","PARS","DPI","GDVI_2","GDVI_3","GDVI_4","DWSI4","NSpp_Treb","NSpp_Trent","Prop_Trent"
"1","B","300","1",1,7.16666666666667,130,NA,NA,NA,NA,148.532190743133,5.78405120585852,392.977875,676.308625,301.415,469.727625,168.312625,0.0518778535997522,0.033142123844443,661.07925,694.208875,33.129625,0.00531863302528076,0.0027640169306961,0.54939538414246,0.0523789219784223,0.206422542356322,0.255015571146626,0.328004681881012,10.6922637125829,0.915409078051044,2.14204917171576,1.24460787335839,0.883961855528639,322.349833745538,-0.0323872867768685,0.0180714107806211,-0.0692540797596266,62.8335728616515,1.00262240317472,3.09685632317678,0.760755796893716,0.630591167557206,0.821635173612857,1.07753375366682,21.117196981027,0.787879272300052,1.43699669994965,0.319708086180527,0.0551803165364983,1.52907356540125,0.0985815573379268,1.44197560756562,-68.9969687586261,1.09024178588358,0.124837074568557,-0.195408448043979,2.90671858494396,0.482859785547133,0.699483994215243,0.0352504860036749,-0.797322388178892,0.38881840077522,3.77784859803048,4.00184741078525,35.405538618535,0.327447888468961,0.163596072805373,0.705281365229215,0.355201192240918,2.00948338361355,1.40075395127006,0.546821704974818,1.94985297754316,0.0979747693859747,0.197982710188991,0.434579289716705,0.11336197026211,1.80152214190724,571.902527672039,725.691450077591,2.07864548832266,12.1090207758737,1.53059370044944,1.24460787335839,1.29304032045778,2.14204917171576,1.10934293335107,0.907800805081932,1.18488838177258,0.422665844208332,0.856979906797443,0.414443326541589,78.5134065938543,7.95530284812558,1.72656088764888,7.51747135775843,7.79438016754773,67.7013127903411,1.07696312076519,-0.0320933796149877,0.113777115449352,-0.0941780615620014,1.63095396949782,0.525767350750547,0.0137662095845899,0.0429693771360705,-2.18378640115073,-1.23147461884234,18.2469029515807,-0.0280431382237988,0.28126749532028,0.322137742271862,6879.6057678525,31.1343045255165,0.0468615152373763,2.58452766118592,-6.82964129163745,0.3932088242979,0.548338993007647,0.669245371002424,0.676148464789677,1,1,0.5
"2","B","300","4",0,0,130,NA,NA,NA,NA,223.556937839003,2.07805866877911,442.884,677.8905,305.439,563.1635,257.7245,0.039903013303307,0.0186763494815965,667.2665,687.345,20.0785,0.0037172528746815,0.002445971278512,0.556451106604827,0.0320069503300835,0.25253538030285,0.311149841455236,0.399817189666362,6.46657675041046,0.903821039108321,2.77310819450468,1.28748514621939,0.537444749342827,192.109114215178,-0.036194732063881,-0.037071347208396,-0.147820162564115,45.6295037097599,1.00480678061208,4.32312779986045,0.7219730073592,0.525025982224218,0.794216879443143,1.10407548078752,10.4432187738765,0.783841217595878,1.54013970239322,0.421739378613589,0.0801096192545755,1.87458462228533,0.152393092799138,0.608946064083462,-50.5638491643912,-2.20880024018873,-0.1293782228528,-0.285602933160064,2.74212332696428,0.464508125818783,0.542244620332282,0.044592078210106,-1.15379251428281,0.530119324573558,1.73506221668848,2.67975412531486,20.4024524027409,0.314562317852298,0.141685496613053,0.691910243379482,0.420246174593885,1.92088960392259,1.33090181272331,0.586867894066598,1.69040834646294,0.112256500921549,0.311204857400244,0.598792840354045,0.129816738745637,1.96868242663198,741.319491508389,725.25188323061,2.09741962854104,8.96602236601257,1.6761984268488,1.28748514621939,1.36217277330787,2.77310819450468,1.14632107299704,0.874772799024903,1.21537727355038,0.252058252824417,0.799299189894838,0.251986475148159,69.5341757908334,7.21393552916721,0.342247918943445,3.60216724935436,1.07978290534505,27.1613630997582,1.0833829822891,-0.0358610185497755,-0.591390313510643,-0.13285612554597,1.85120202056703,0.711140840768473,0.024334126577063,0.0756180594967555,-2.8394353116272,-1.25400768197198,7.8297730703582,-0.043891048396941,0.334803716208452,0.439024221344983,4773.20088217,-56.7496150948989,0.0591775969027185,3.52912881132333,-26.4695067060981,0.474666254072025,0.649115151659447,0.774372435836453,0.515452308869928,1,NA,NA
"3","B","300","7",0,0,130,NA,NA,NA,NA,223.556937839003,2.07805866877911,442.884,677.8905,305.439,563.1635,257.7245,0.039903013303307,0.0186763494815965,667.2665,687.345,20.0785,0.0037172528746815,0.002445971278512,0.556451106604827,0.0320069503300835,0.25253538030285,0.311149841455236,0.399817189666362,6.46657675041046,0.903821039108321,2.77310819450468,1.28748514621939,0.537444749342827,192.109114215178,-0.036194732063881,-0.037071347208396,-0.147820162564115,45.6295037097599,1.00480678061208,4.32312779986045,0.7219730073592,0.525025982224218,0.794216879443143,1.10407548078752,10.4432187738765,0.783841217595878,1.54013970239322,0.421739378613589,0.0801096192545755,1.87458462228533,0.152393092799138,0.608946064083462,-50.5638491643912,-2.20880024018873,-0.1293782228528,-0.285602933160064,2.74212332696428,0.464508125818783,0.542244620332282,0.044592078210106,-1.15379251428281,0.530119324573558,1.73506221668848,2.67975412531486,20.4024524027409,0.314562317852298,0.141685496613053,0.691910243379482,0.420246174593885,1.92088960392259,1.33090181272331,0.586867894066598,1.69040834646294,0.112256500921549,0.311204857400244,0.598792840354045,0.129816738745637,1.96868242663198,741.319491508389,725.25188323061,2.09741962854104,8.96602236601257,1.6761984268488,1.28748514621939,1.36217277330787,2.77310819450468,1.14632107299704,0.874772799024903,1.21537727355038,0.252058252824417,0.799299189894838,0.251986475148159,69.5341757908334,7.21393552916721,0.342247918943445,3.60216724935436,1.07978290534505,27.1613630997582,1.0833829822891,-0.0358610185497755,-0.591390313510643,-0.13285612554597,1.85120202056703,0.711140840768473,0.024334126577063,0.0756180594967555,-2.8394353116272,-1.25400768197198,7.8297730703582,-0.043891048396941,0.334803716208452,0.439024221344983,4773.20088217,-56.7496150948989,0.0591775969027185,3.52912881132333,-26.4695067060981,0.474666254072025,0.649115151659447,0.774372435836453,0.515452308869928,1,NA,NA
"4","B","400","1",1.15972222222222,23.8877777777778,97.5,1.18,1.71,40.69,-24.43,90.2767601001774,9.06409543280261,362.1326875,675.4481875,300.372,410.678875,110.306875,0.0529721886392384,0.0394517712936108,658.56025,697.7160625,39.1558125,0.00808039699074076,0.00428059745984036,0.46724578947648,0.0744530748757524,0.18085028769727,0.223759075807957,0.287782746299378,12.1039200892601,0.876749730384183,1.71879527761157,1.23881672910671,0.926181591337785,373.530862889012,-0.0310786721804398,-0.0444127858837699,0.0127156582642249,58.5257700285348,0.998354791413631,2.30927335094397,0.781181430108627,0.703980640778164,0.832465724177503,1.06273427277836,22.0445570770079,0.79036119688798,1.37945683239136,-29.0235028269958,0.0485383713798704,1.27674917547376,0.077757820405719,1.86806074553813,-65.7060837086888,4.47213826288056,-0.132203820064787,-0.142241031507222,2.85097136545199,0.465679812257467,0.809847246567068,0.0382754228142498,-0.82979479492338,0.297096228909686,3.56586755311311,4.75234635521563,36.4256772280816,0.3279521991979,0.176961486916966,0.718133183427574,0.315363043470555,2.08069144481548,1.45783260615228,0.539518896833431,2.09583340946336,0.0939542079493079,0.116222689249187,0.338605252686591,0.108707083547308,1.58676126141835,625.925547915124,726.301679742301,2.19534039348608,12.6740630342196,1.45903664006848,1.23881672910671,1.27203941475432,1.71879527761157,1.08374057477015,0.930103030857147,1.18172335974617,0.520605369093879,0.888451398065525,0.503223733654115,73.7858253544794,7.03146831947961,2.17163742009253,9.02546994207146,8.18045196419536,71.4421194991836,1.08253340690234,-0.0306063884862356,1.31756807497688,-0.0735876335763977,1.49623579315816,0.413081910001158,0.00790800024633556,0.0242004155264229,-1.73519345296962,-1.23174782966852,19.3047654186905,-0.0203653040603746,0.27049523638097,0.249514371290278,6553.21994304188,91.3361668620723,0.0530677134187901,1.95528588067138,-13.3283912361758,0.345669222078605,0.485211517100546,0.59786791511687,0.786245681291503,2,6,0.75
"5","B","400","10",0.875,28.325,60,NA,NA,NA,NA,86.5838083340727,9.79132871655643,349.70275,673.485916666667,298.981166666667,389.70575,90.7245833333333,0.0631185685767835,0.0571132668965285,651.823833333333,705.19375,53.3699166666667,0.00952032360163134,0.0054588499131699,0.499084137656388,0.088042830633507,0.172676516889004,0.216491197593834,0.278697831671118,14.1660738143639,0.949032259846798,1.57253175218713,1.24080121854992,1.16085944319603,452.279080435512,-0.0329733413074455,0.0403731829525484,0.167003887897981,68.9456420382598,0.995232079538308,2.06152908292825,0.780188416336196,0.727104444641426,0.833564218369224,1.06023767020225,26.999346454241,0.772666876368065,1.32860146075232,-78.7933692597934,0.0348374580891122,1.18174022799701,0.0531676586179557,2.4009962897552,-76.803500251241,11.9964704526586,-0.319990647743392,-0.124852595071166,2.53973971382323,0.411250854590543,0.853178864580667,0.0304154191679321,-0.592769009130108,0.262532711323802,5.36905173415925,5.31458351064469,45.64690026235,0.329323898076505,0.183388372422564,0.722965621391392,0.309549108373192,2.03081330209068,1.46011793010124,0.537518573526158,2.26017058404227,0.094040505747302,0.0856178748795486,0.30934284859782,0.108854171992443,1.64677456833192,610.016498340027,725.25753199871,2.09555300778424,14.3447004386363,1.42794354819203,1.24080121854992,1.27596817151016,1.57253175218713,1.07928250065244,0.936293397310136,1.18014251082997,0.550258597128138,0.89672447681181,0.529600931283389,71.6446469110419,8.84918789638939,2.89554103935665,10.775706334849,13.3293631847628,94.9905799731717,1.08532687803958,-0.0325227372352083,1.8126080443199,-0.0678158473138942,1.4355210159839,0.374786667984033,0.00465548154171042,0.0130714459761775,-1.58668485423862,-1.24327078456873,23.8033755207554,-0.0193914122331583,0.269168656306471,0.216615542499757,7777.32682347,143.620604260009,0.0407133008009498,1.74237038400529,5.31863407530159,0.332566866630802,0.471550066828883,0.587122679913938,0.828969216740331,NA,3,NA
"6","B","400","2",1.20833333333333,28.325,60,NA,NA,NA,NA,76.469907522619,7.3435768982222,349.1220625,672.7931875,299.179875,385.9455625,86.7656875,0.0575496195696384,0.0480524840340086,656.402875,696.7178125,40.3149375,0.00715450490425377,0.00412032886682242,0.463731953026815,0.0661001313370287,0.167339620585841,0.209138071448168,0.268920424963512,11.2048596809871,0.842261387546323,1.59830610309289,1.22208895103944,0.891466292496394,356.310228538606,-0.0299657712218804,-0.0160233109705752,0.0248394417087359,59.5589219872709,0.999583243825388,2.09255274973087,0.790278891917402,0.721506240399432,0.841124988788645,1.05714379461654,22.9719144741113,0.788180209476008,1.3391069315539,-59.0316258480586,0.0468985670833801,1.21960646679769,0.0718806237644558,1.90651545049132,-66.025476170699,8.91951930634525,-0.415131184144733,-0.120795717219373,2.68748199194309,0.437393540360991,0.827284713826995,0.0387861705686288,-0.868895833678591,0.27217807583735,4.1380880071952,4.32036839834137,37.9843803423667,0.314160282268715,0.172918571164224,0.728861162398247,0.300648139151129,1.95679533558793,1.42750584914494,0.52519290318973,2.16850199924274,0.089845409514513,0.100293011874475,0.31924647136493,0.103940740109215,1.47433724119407,609.791722346773,726.385133594746,2.16192050803029,11.5623518538616,1.41011407128021,1.22208895103944,1.24988356354887,1.59830610309289,1.07707218379246,0.937447342748117,1.16796441862265,0.537040179544662,0.895735948242612,0.517857342151292,68.2495183193231,7.57984324541711,2.17971298236268,8.75635462526222,10.0400909107833,78.8053958870278,1.07985240948324,-0.0295605643436532,1.56662770498162,-0.0676661868637692,1.44305345984247,0.384365603942239,0.00624902794378131,0.0195440403999556,-1.60065835230034,-1.21037001668872,20.1542404867867,-0.017786589417068,0.2501235179345,0.238401365989055,6700.8281327375,107.34950653602,0.0469383890483549,1.77839163364885,3.99637019882514,0.323395658214088,0.460673807450361,0.57637395005174,0.803902785347501,NA,4,NA
"7","B","400","3",0,0,180,NA,NA,NA,NA,223.556937839003,2.07805866877911,442.884,677.8905,305.439,563.1635,257.7245,0.039903013303307,0.0186763494815965,667.2665,687.345,20.0785,0.0037172528746815,0.002445971278512,0.556451106604827,0.0320069503300835,0.25253538030285,0.311149841455236,0.399817189666362,6.46657675041046,0.903821039108321,2.77310819450468,1.28748514621939,0.537444749342827,192.109114215178,-0.036194732063881,-0.037071347208396,-0.147820162564115,45.6295037097599,1.00480678061208,4.32312779986045,0.7219730073592,0.525025982224218,0.794216879443143,1.10407548078752,10.4432187738765,0.783841217595878,1.54013970239322,0.421739378613589,0.0801096192545755,1.87458462228533,0.152393092799138,0.608946064083462,-50.5638491643912,-2.20880024018873,-0.1293782228528,-0.285602933160064,2.74212332696428,0.464508125818783,0.542244620332282,0.044592078210106,-1.15379251428281,0.530119324573558,1.73506221668848,2.67975412531486,20.4024524027409,0.314562317852298,0.141685496613053,0.691910243379482,0.420246174593885,1.92088960392259,1.33090181272331,0.586867894066598,1.69040834646294,0.112256500921549,0.311204857400244,0.598792840354045,0.129816738745637,1.96868242663198,741.319491508389,725.25188323061,2.09741962854104,8.96602236601257,1.6761984268488,1.28748514621939,1.36217277330787,2.77310819450468,1.14632107299704,0.874772799024903,1.21537727355038,0.252058252824417,0.799299189894838,0.251986475148159,69.5341757908334,7.21393552916721,0.342247918943445,3.60216724935436,1.07978290534505,27.1613630997582,1.0833829822891,-0.0358610185497755,-0.591390313510643,-0.13285612554597,1.85120202056703,0.711140840768473,0.024334126577063,0.0756180594967555,-2.8394353116272,-1.25400768197198,7.8297730703582,-0.043891048396941,0.334803716208452,0.439024221344983,4773.20088217,-56.7496150948989,0.0591775969027185,3.52912881132333,-26.4695067060981,0.474666254072025,0.649115151659447,0.774372435836453,0.515452308869928,1,NA,NA
"8","B","400","5",1,43.4,60,NA,NA,NA,NA,79.9918057117471,8.59543165589724,345.374125,672.145875,298.88175,383.174625,84.292875,0.0589190295913452,0.0565264149519265,653.023,699.939375,46.9163750000001,0.00811391139054301,0.00462739349978785,0.479972810023666,0.0808653492711465,0.188708254300372,0.233539861357087,0.300742610098415,17.0115289891174,0.939575944783007,1.59734619320979,1.26311631248127,1.29656373339797,523.967277381567,-0.035354899452265,-0.00931975155248485,0.16464215992789,73.399598457993,0.996638130718498,2.01761604905548,0.766782452554607,0.713136621277658,0.821258846928922,1.06237472289107,28.7586838014516,0.782475079924177,1.37223950515069,1.5398125027289,0.0324603633449538,1.17916522650311,0.0518248041606425,3.06851414879164,-82.8646533937072,17.9313481504582,-1.02755797490361,-0.138293399991356,2.82670858718526,0.455144978587312,0.859629706921109,0.0284373150104854,-0.408625939434529,0.275225990167605,5.61756735863591,6.28337817624016,50.2577599712444,0.357963439744121,0.196438121180005,0.728211781517291,0.329498164121808,2.17168269381656,1.50331840824755,0.557976255487173,2.29388356841645,0.10089236049247,0.0838595673736393,0.299351066399908,0.116801537387856,1.83602893989756,542.886898628283,726.408404503624,1.97039049745076,17.1703092449005,1.47829195428223,1.26311631248127,1.29657965621741,1.59734619320979,1.08067220438836,0.935020461724913,1.19684807889191,0.556693427012806,0.897699330778393,0.541655687639995,78.1819366144794,10.4459716833339,3.24755223685094,12.4714657754246,13.9835593020955,102.642934028088,1.09759690678012,-0.0347751190317563,0.435858855548643,-0.0682249481379956,1.4770832843038,0.38402691181086,0.00430297360782313,0.0120640869602145,-1.62820535421869,-1.27939725290604,25.4222491957165,-0.021842081630897,0.29597409115228,0.208569408212022,8279.73712193,152.19192579682,0.0363581836298642,1.77072548015957,7.61301019314767,0.360964359845661,0.506906472256969,0.624407055946552,0.833836287849128,NA,2,NA
"9","B","400","7",0,0,180,NA,NA,NA,NA,223.556937839003,2.07805866877911,442.884,677.8905,305.439,563.1635,257.7245,0.039903013303307,0.0186763494815965,667.2665,687.345,20.0785,0.0037172528746815,0.002445971278512,0.556451106604827,0.0320069503300835,0.25253538030285,0.311149841455236,0.399817189666362,6.46657675041046,0.903821039108321,2.77310819450468,1.28748514621939,0.537444749342827,192.109114215178,-0.036194732063881,-0.037071347208396,-0.147820162564115,45.6295037097599,1.00480678061208,4.32312779986045,0.7219730073592,0.525025982224218,0.794216879443143,1.10407548078752,10.4432187738765,0.783841217595878,1.54013970239322,0.421739378613589,0.0801096192545755,1.87458462228533,0.152393092799138,0.608946064083462,-50.5638491643912,-2.20880024018873,-0.1293782228528,-0.285602933160064,2.74212332696428,0.464508125818783,0.542244620332282,0.044592078210106,-1.15379251428281,0.530119324573558,1.73506221668848,2.67975412531486,20.4024524027409,0.314562317852298,0.141685496613053,0.691910243379482,0.420246174593885,1.92088960392259,1.33090181272331,0.586867894066598,1.69040834646294,0.112256500921549,0.311204857400244,0.598792840354045,0.129816738745637,1.96868242663198,741.319491508389,725.25188323061,2.09741962854104,8.96602236601257,1.6761984268488,1.28748514621939,1.36217277330787,2.77310819450468,1.14632107299704,0.874772799024903,1.21537727355038,0.252058252824417,0.799299189894838,0.251986475148159,69.5341757908334,7.21393552916721,0.342247918943445,3.60216724935436,1.07978290534505,27.1613630997582,1.0833829822891,-0.0358610185497755,-0.591390313510643,-0.13285612554597,1.85120202056703,0.711140840768473,0.024334126577063,0.0756180594967555,-2.8394353116272,-1.25400768197198,7.8297730703582,-0.043891048396941,0.334803716208452,0.439024221344983,4773.20088217,-56.7496150948989,0.0591775969027185,3.52912881132333,-26.4695067060981,0.474666254072025,0.649115151659447,0.774372435836453,0.515452308869928,1,NA,NA
"10","B","500","1",13.6666666666667,26.5833333333333,103.333333333333,0.95,-1.24,28.84,-28.56,110.954587315392,18.209083449325,372.086357142857,678.341535714286,303.735142857143,440.041178571429,136.306035714286,0.0506304970271811,0.0524615429951326,649.976642857143,708.551535714286,58.5748928571428,0.0167923148238864,0.00906657018019539,0.463848597923021,0.149383094975106,0.215701031112819,0.261159805957583,0.335916653547109,18.0432943803519,0.998967967651074,1.74902187447189,1.32548082475158,1.70727451989926,578.722928866047,-0.0341268539933991,-0.131995872544605,0.0748503696669097,57.0505904146589,1.00266645712645,2.63143294012708,0.737475420435063,0.689467206831649,0.799174861716322,1.08497337447975,22.7678762296539,0.630660970177685,1.39045304384926,2.46521532263523,0.0449267798209587,1.17633682924433,0.0768487574870845,2.36006060699329,-66.7873934306475,27.0220344751417,0.394444725179557,-0.194577909776839,3.58517282703733,0.543542668086507,0.886870688807446,0.0400885801237586,-0.768892672522634,0.285046037343688,8.29024585523081,7.25261821079224,48.0990430184831,0.390035634286051,0.222301067311793,0.678850490402496,0.347301210933068,2.58232453310635,1.61513790931543,0.614525024201963,2.033737771908,0.117308669940907,0.0707922669664418,0.310412333253309,0.135735881932348,1.83713967081814,754.93877375643,717.835344430769,1.39907663821501,17.8181432385645,1.60721397056258,1.32548082475158,1.40016548468401,1.74902187447189,1.10789285042403,0.911936172276506,1.22894187786112,0.570491075401959,0.877668893949468,0.564511554173606,88.6788020842264,4.85550591065521,3.96331333877926,12.4923227785907,21.7713864990995,95.2190171833796,1.11219714726479,-0.0333354415239645,0.43674555958082,-0.0668253420591969,1.58160653825314,0.415526249452191,0.00829782925896286,0.0211643766399058,-1.78206677119771,-1.33139243183744,19.4591171148834,-0.0299905915121037,0.371325832355093,0.183037236139666,6381.895128815,243.446791344989,0.0345326526969745,2.04357934452445,-23.2339702396729,0.398252403611844,0.534994591391985,0.630446643283529,0.869412516187985,8,2,0.2
