"","Species","Transect","Collection","Elevation","Quadrat","Collection2","Cover","Time_Surface","Time_Absorption","Angle","N","SpN","Genus","Order","Family","Form","Photobiont","Number","Sample","Mass",".N","d15N",".C","d13C","Notes"
"286","SorediateAmygdalaria","B","TB800.1.9","800","9","TB_800_1_9","2",3.5,65,75,97,106,"Amygdalaria","Lecideales","","Crustose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"287","SorediateTipRamalina","B","TB700.1.11a","700","1","TB_700_1_11a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11a",NA,NA,NA,NA,NA,NA,""
"288","SorMarginsRamalina","B","TB700.2.14","700","2","TB_700_2_14","T",90,90,60,103,108,"Ramalina","Lecanorales","","Fruticose","Trebouxia","14","B700_2.14.raw",4.83,1.18,2.11,41.66,-18.29,""
"289","SorMarginsRamalina","B","TB700.2.14","700","3","TB_700_2_14","T",90,90,60,103,108,"Ramalina","Lecanorales","","Fruticose","Trebouxia",NA,NA,NA,NA,NA,NA,NA,NA
"290","sorNiebla","B","TB600.5.1","600","5","TB_600_5_1","T",1,47,75,141,84,"Niebla","Lecanorales","","Fruticose","Trebouxia","1","B600_5.1.raw",4.661,1.83,1.5,39.77,-20.35,""
"291","StipLecBlaApoWhite","B","TB700.4.4","700","4","TB_700_4_4","6",90,90,30,116,110,"Crustose","Arthoniales","","Crustose","Trentepohlia","4",NA,NA,NA,NA,NA,NA,""
"292","StipLecBlaApoWhite","B","TB700.4.4","700","6","TB_700_4_4","T",90,90,30,116,110,"Crustose","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"293","TanBullateApo","B","TB800.1.7","800","1","TB_800_1_7","T",1,4,110,142,111,"Crustose","Arthoniales","","Crustose","Trentepohlia","7",NA,NA,NA,NA,NA,NA,""
"294","TanBullateApo","B","TB800.1.7","800","10","TB_800_1_7","14",1,4,110,142,111,"Crustose","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
"295","TanBullateApo","B","TB800.1.7","800","2","TB_800_1_7","1",1,4,110,142,111,"Crustose","Arthoniales","","Crustose","Trentepohlia",NA,NA,NA,NA,NA,NA,NA,NA
